Model,Prompt Type,Latency (s),Output Tokens,Input Tokens,Faithfulness Score,Relevance Score,Formatting Score,Cognitive Efficiency,Output Text
Llama 3.3 · 70B,Executive Summary,8.787,327,715,100,100,100,11.38,"The Ministry of Labour and Employment has discussed the issue of child labour on multiple occasions, with the earliest recorded discussion dating back to 05.07.2004, and the most recent on 02.03.2015. The discussions have covered a range of topics related to child labour, including the abolition of child labour, eradication of child labour, and the rehabilitation of rescued child labourers. The ministry has also explored alternative arrangements for affected child labourers and has considered the expansion of the National Child Labour Project.

The data suggests that the ministry has taken a multi-pronged approach to addressing the issue of child labour, including conducting surveys and inspections to identify child labourers, providing funds for vocational training and rehabilitation, and establishing shelter homes and schools for child labourers. The ministry has also discussed the exploitation of child labourers and has considered banning child labour. The repeated discussions on banning child labour, with titles such as ""BAN ON CHILD LABOUR"" appearing in 2008, 2009, and 2011, indicate a strong commitment to eliminating the practice.

The ministry's efforts to eradicate child labour have been ongoing, with discussions on the topic taking place over a period of more than a decade. The range of topics covered in the discussions, from the identification and rescue of child labourers to their rehabilitation and education, suggests a comprehensive approach to addressing the issue. The ministry's commitment to the National Child Labour Project and its expansion, as well as its consideration of a multi-pronged strategy for the eradication of child labour, further underscore its dedication to eliminating the practice of child labour."
Llama 3.3 · 70B,Progression Timeline,15.768,349,711,100,100,100,6.34,"### Policy Progression Timeline
* 2004: 
  + July 5: Initial discussion on **Child Labour**
* 2007: 
  + March 19: Establishment of **School for Child Labour**
  + March 12: Introduction of **Alternative Arrangements for Affected Child Labourers**
  + April 30: Provision of **Shelter Homes for Child Labour**
  + August 13: Conducting a **Survey on Child Labourers**
  + August 20: Focus on **Eradication of Child Labour**
  + September 10: Addressing the **Death of Child Labourers**
  + November 19: **Utilization of Fund under Abolition of Child Labour Programme**
  + November 26: Discussion on **Bonded Child Labour**
* 2008: 
  + March 10: Introduction of **Ban on Child Labour** and **Fund for Vocational Training to Child Labourers**
  + March 17: Concerns over **Exploitation of Child Labourers**
  + April 21: **Inspections for Identification of Child Labourers**
  + October 20: **Funds for Rehabilitation of Rescued Child Labour** and **Expansion of National Child Labour Project**
* 2009: 
  + November 30: **National Child Labour Project** and introduction of a **Multi Pronged Strategy for Eradication of Child Labour**
  + December 7: Reiteration of **Ban on Child Labour**
* 2011: 
  + March 7: Continued emphasis on **Ban on Child Labour**
* 2015: 
  + March 2: Ongoing discussion on **Child Labour**"
Llama 3.3 · 70B,Ministry Engagement,4.128,138,708,100,100,100,24.22,"The Ministry of Labour and Employment is the government ministry engaged in the topic of child labour. Their specific jurisdictions or responses include:

1. Eradication of child labour
2. Abolition of bonded child labour
3. Rehabilitation of rescued child labourers
4. Expansion of the National Child Labour Project
5. Provision of shelter homes and schools for child labourers
6. Inspections for identification of child labourers
7. Ban on child labour
8. Vocational training for child labourers
9. Utilization of funds under the Abolition of Child Labour Programme
10. Implementation of a multi-pronged strategy for eradication of child labour."
Llama 3.3 · 70B,Policy Gaps,10.615,404,712,100,100,100,9.42,"Policy gaps exist in the following areas: 

1. Effective eradication of child labour: Repeated questions and unresolved issues include the implementation and success of initiatives aimed at eradicating child labour, as indicated by titles such as ""ERADICATION OF CHILD LABOUR"", ""BAN ON CHILD LABOUR"", and ""MULTI PRONGED STRATEGY FOR ERADICATION OF CHILD LABOUR"".

2. Rehabilitation and support for rescued child labourers: Questions and issues persist regarding the provision of adequate funds, shelter, and vocational training for rescued child labourers, as seen in titles like ""FUNDS FOR REHABILITATION OF RESCUED CHILD LABOUR"", ""SHELTER HOMES FOR CHILD LABOUR"", and ""FUND FOR VOCATIONAL TRAINING TO CHILD LABOURERS"".

3. Identification and inspection of child labour cases: The need for effective inspections and identification of child labourers is a recurring theme, with titles such as ""INSPECTIONS FOR IDENTIFICATION OF CHILD LABOURERS"" and ""SURVEY ON CHILD LABOURERS"".

4. Exploitation of child labourers: Issues related to the exploitation of child labourers remain unresolved, as indicated by titles like ""EXPLOITATION OF CHILD LABOURERS"" and ""DEATH OF CHILD LABOURERS"".

5. Alternative arrangements and education for affected child labourers: Questions are repeatedly asked about providing alternative arrangements and education for child labourers, as seen in titles such as ""ALTERNATIVE ARRANGEMENTS FOR AFFECTED CHILD LABOURERS"" and ""SCHOOL FOR CHILD LABOUR"". 

6. Utilization of funds under child labour programmes: The effective utilization of funds allocated for child labour programmes is a recurring issue, with titles like ""UTILIZATION OF FUND UNDER ABOLITION OF CHILD LABOUR PROGRAMME"" and ""NATIONAL CHILD LABOUR PROJECT"". 

These areas indicate policy gaps and unresolved issues that require continued attention and action from the Ministry of Labour and Employment."
Llama 4 · 17B,Executive Summary,3.182,219,687,100,100,100,31.43,"The topic of child labour has been extensively discussed in the Ministry of Labour and Employment, with multiple titles related to the issue being addressed on various dates. The discussions span from 2004 to 2015, indicating a long-standing concern for the ministry. Key areas of focus include the eradication of child labour, bonded child labour, and the utilization of funds for rehabilitation and vocational training.

Several specific initiatives have been discussed, such as the National Child Labour Project, shelter homes for child labourers, and schools for child labour. Additionally, there have been talks on inspections for identification of child labourers, ban on child labour, and alternative arrangements for affected child labourers. The ministry has also addressed issues related to the exploitation of child labourers and death of child labourers.

The discussions suggest a multi-pronged strategy for the eradication of child labour, including measures such as rehabilitation, vocational training, and enforcement of bans on child labour. The Ministry of Labour and Employment has taken a comprehensive approach to tackle the issue, indicating a commitment to addressing the complex problems surrounding child labour."
Llama 4 · 17B,Progression Timeline,6.265,379,682,100,100,100,15.96,"### Policy Progression Timeline on Child Labour

#### Early 2000s: Identification and Initial Response
- **12.03.2007**: Alternative arrangements for affected child labourers discussed.
- **19.03.2007**: Proposal for schools for child labour.
- **30.04.2007**: Discussion on shelter homes for child labour.
- **20.08.2007**: Eradication of child labour.
- **13.08.2007**: Survey on child labourers.
- **10.09.2007**: Addressing the death of child labourers.
- **19.11.2007**: Utilization of funds under the Abolition of Child Labour Programme.
- **26.11.2007**: Focus on bonded child labour.

#### 2008: Expansion and Rehabilitation Efforts
- **17.03.2008**: Concerns about the exploitation of child labourers.
- **10.03.2008**: Proposal for a fund for vocational training to child labourers and a ban on child labour.
- **21.04.2008**: Inspections for the identification of child labourers.
- **20.10.2008**: Expansion of the National Child Labour Project and funds for the rehabilitation of rescued child labour.

#### 2009: Strategic Planning
- **30.11.2009**: Discussion on the National Child Labour Project and a multi-pronged strategy for the eradication of child labour.
- **07.12.2009**: Further discussion on the ban on child labour.

#### 2011: Reaffirmation of Policy
- **07.03.2011**: Reaffirmation of the ban on child labour.

#### 2015: Long-term Strategy
- **02.03.2015**: Discussion on child labour, indicating ongoing efforts and strategy refinement."
Llama 4 · 17B,Ministry Engagement,2.38,149,680,100,100,100,42.01,"The Ministry of Labour and Employment is engaged in this topic, specifically on child labour. 

Their jurisdictions or responses include:

1. Eradication of child labour
2. Abolition of child labour programme
3. Utilization of funds for rehabilitation of rescued child labour
4. Expansion of National Child Labour Project
5. Provision of shelter homes for child labour
6. Establishment of schools for child labour
7. Alternative arrangements for affected child labourers
8. Inspections for identification of child labourers
9. Ban on child labour
10. Vocational training for child labourers
11. Multi-pronged strategy for eradication of child labour 

No other government ministries are mentioned in the provided text."
Llama 4 · 17B,Policy Gaps,4.357,266,683,100,100,100,22.95,"**Policy Gaps:**

1. **Lack of effective implementation and enforcement**: Many records mention the need for eradication, abolition, and ban on child labour, but the effectiveness of these measures is not ensured.
2. **Insufficient funding and resource allocation**: Records indicate a need for funds for rehabilitation, vocational training, and shelter homes, suggesting that allocated resources might be inadequate.
3. **Inadequate identification and inspection**: Records mention the need for inspections to identify child labourers, implying that current identification mechanisms might be insufficient.

**Repeatedly Asked Questions:**

1. How to eradicate child labour?
2. How to ensure effective implementation and enforcement of child labour laws?
3. What measures can be taken to prevent exploitation of child labourers?
4. How to provide alternative arrangements for affected child labourers?

**Unresolved Issues:**

1. **Effective ban on child labour**: Despite multiple records mentioning a ban on child labour, the issue persists.
2. **Rehabilitation and reintegration of child labourers**: Records indicate a need for shelter homes, rehabilitation, and vocational training, but the adequacy and effectiveness of these measures are unclear.
3. **Multi-pronged strategy for eradication**: Records suggest that a comprehensive approach is needed, but the specifics of such a strategy are not detailed."
Gemma 3 · 12B,Executive Summary,3.7,225,742,100,100,100,27.03,"The Labour and Employment Ministry has consistently addressed the issue of child labour, with discussions spanning from 2004 to 2015. Topics covered include general child labour, bonded child labour, the utilization of funds allocated to the Abolition of Child Labour Programme, and the deaths of child labourers. Further discussions focused on the eradication of child labour, surveys of child labourers, and the provision of shelter homes and schools specifically for child labourers.

Significant attention has been given to rehabilitation and preventative measures. This includes the allocation of funds for the rehabilitation of rescued child labourers, the expansion of the National Child Labour Project, alternative arrangements for affected child labourers, inspections for identifying child labourers, and vocational training for child labourers. There have also been discussions regarding the exploitation of child labourers and the implementation of a multi-pronged strategy for eradication.

Multiple discussions centered on enacting and reinforcing a ban on child labour, occurring in 2007, 2008, 2009, and 2011. These recurring discussions highlight the ongoing commitment to prohibiting child labour within the jurisdiction."
Gemma 3 · 12B,Progression Timeline,6.282,378,737,100,100,100,15.92,"## Policy Progression Timeline: Child Labour

Here's a timeline of the policy progression related to child labour, based solely on the provided data:

*   **2004:** Child Labour
*   **2007:**
    *   30.04: Shelter Homes for Child Labour
    *   12.03: Alternative Arrangements for Affected Child Labourers
    *   19.03: School for Child Labour
    *   13.08: Survey on Child Labourers
    *   20.08: Eradication of Child Labour
    *   10.09: Death of Child Labourers
    *   26.11: Bonded Child Labour
    *   19.11: Utilization of Fund under Abolition of Child Labour Programme
*   **2008:**
    *   10.03: Ban on Child Labour
    *   10.03: Fund for Vocational Training to Child Labourers
    *   17.03: Exploitation of Child Labourers
    *   21.04: Inspections for Identification of Child Labourers
    *   20.10: Funds for Rehabilitation of Rescued Child Labour
    *   20.10: Expansion of National Child Labour Project
*   **2009:**
    *   30.11: National Child Labour Project
    *   30.11: Multi Pronged Strategy for Eradication of Child Labour
    *   07.12: Ban on Child Labour
*   **2011:**
    *   07.03: Ban on Child Labour
*   **2015:** Child Labour"
